	ENAME	ESSN	ADDRESS	SALARY	SUPERSSN	DNO
	吴道票	4501221970016041	河南省新乡市	3346	4501221970014765	D3
	李春风	4501221970009162	广西省柳州市	5196	4501221970014765	D3
	郑立美	4501221970029707	广西省桂林市	5602	4501221970026735	D5
	周多票	4501221970017463	江苏省扬州市	4675	4501221970006715	D1
	周小票	4501221970008813	江苏省徐州市	3555	4501221970006715	D1
	赵立美	4501221970024137	广东省珠海市	7916	4501221970015367	D4
	吴立懂	4501221970021017	广东省深圳市	9093	4501221970015367	D4
	孙道懂	4501221970022621	江苏省南京市	4750	4501221970014765	D3
	周春懂	4501221970003213	广西省南宁市	3171	4501221970015367	D4
	郑道狂	4501221970013427	广东省珠海市	3396	4501221970022584	D2
	孙立懂	4501221970030673	江苏省连云港市	2418	4501221970006715	D1
	李多狂	4501221970005866	广东省汕头市	7082	4501221970026735	D5
	李多懂	4501221970016733	广西省南宁市	2283	4501221970006715	D1
	孙立懂	4501221970002265	河南省新乡市	9115	4501221970014765	D3
	王小前	4501221970025815	河南省安阳市	2273	4501221970022584	D2
	吴小美	4501221970024447	广西省柳州市	8571	4501221970026735	D5
	吴立狂	4501221970023863	广西省桂林市	8221	4501221970006715	D1
	王春风	4501221970003743	江苏省徐州市	7064	4501221970026735	D5
	赵多美	4501221970003921	黑龙江省大庆市	5426	4501221970022584	D2
	王小美	4501221970028554	广西省柳州市	4149	4501221970026735	D5
	王小懂	4501221970028146	黑龙江省大庆市	7340	4501221970026735	D5
	孙多风	4501221970024865	河南省开封市	3570	4501221970026735	D5
	孙小票	4501221970015946	江苏省连云港市	4811	4501221970014765	D3
	周都风	4501221970026494	广西省南宁市	5809	4501221970022584	D2
	李立前	4501221970004652	黑龙江省哈尔滨市	4575	4501221970026735	D5
	王都狂	4501221970025561	广东省珠海市	8872	4501221970026735	D5
	周多美	4501221970009151	广东省珠海市	5891	4501221970026735	D5
	郑多票	4501221970010630	河南省开封市	7168	4501221970022584	D2
	吴都狂	4501221970000771	黑龙江省七台河市	5137	4501221970022584	D2
	孙都前	4501221970022326	河南省新乡市	3506	4501221970014765	D3
	吴立风	4501221970025763	广东省江门市	4287	4501221970014765	D3
	吴小懂	4501221970009703	广西省柳州市	2047	4501221970006715	D1
	周道风	4501221970015802	黑龙江省七台河市	3581	4501221970015367	D4
	赵春狂	4501221970009349	江苏省扬州市	9847	4501221970015367	D4
	吴小狂	4501221970009587	广西省梧州市	9178	4501221970015367	D4
	赵春狂	4501221970027658	广西省柳州市	2219	4501221970015367	D4
	吴春票	4501221970016755	广东省江门市	3192	4501221970014765	D3
	赵春前	4501221970017322	广西省梧州市	7232	4501221970015367	D4
	王道狂	4501221970028064	江苏省连云港市	9802	4501221970014765	D3
	周多美	4501221970002253	河南省开封市	3703	4501221970026735	D5
	李春前	4501221970028287	广西省梧州市	9727	4501221970006715	D1
	周多狂	4501221970005541	广西省南宁市	2093	4501221970006715	D1
	郑春懂	4501221970024386	广东省广州市	6913	4501221970026735	D5
	李多美	4501221970024106	广东省江门市	6940	4501221970026735	D5
	李春美	4501221970009625	江苏省连云港市	9843	4501221970014765	D3
	周多美	4501221970005504	江苏省南京市	5223	4501221970006715	D1
	王小风	4501221970011215	江苏省扬州市	2386	4501221970022584	D2
	赵立前	4501221970001660	黑龙江省佳木斯市	5297	4501221970026735	D5
	王道懂	4501221970012332	广西省玉林市	2210	4501221970014765	D3
	吴春前	4501221970020798	广西省南宁市	6677	4501221970022584	D2
